H;29162883000118;20181002;20181029
V;30278428001800;8350;E;394495;15000;20181029;20181029
V;30278428001800;8352;E;900739;62000;20181029;20181029
V;30278428001800;8353;E;504592;48000;20181029;20181029
V;30278428001800;8369;E;835873;65000;20181029;20181029
V;30278428001800;8370;E;1169579;302000;20181029;20181029
V;30278428001800;8409;E;748481;126000;20181029;20181029
V;30278428001800;990851;E;525378;125000;20181002;20181002
V;30278428001800;991016;E;525378;125000;20181002;20181002
V;30278428001800;995988;E;1324834;165000;20181011;20181011
V;30278428001800;998687;E;1509996;198000;20181011;20181011
V;30278428001800;998688;E;13303;3000;20181009;20181009
V;30278428001800;998689;E;1822721;345000;20181011;20181011
V;30278428001800;998691;E;1259637;207000;20181011;20181011
V;30278428001800;998692;E;1043308;500000;20181009;20181009
V;30278428001800;998694;E;1275493;571000;20181009;20181009
V;30278428001800;998719;E;170446;40000;20181009;20181009
V;30278428001800;998969;E;1010164;801000;20181019;20181019
V;30278428001800;999112;E;1770564;772000;20181011;20181011
V;30278428001800;999313;E;1077760;568000;20181011;20181011
V;30278428001800;999314;E;1378578;640000;20181009;20181009
V;30278428001800;999315;E;1367024;687000;20181009;20181009
V;30278428001800;999316;E;1626540;487000;20181011;20181011
E
